               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042054,            0.016637,             0.12215,           0.0052293,             0.82256,           0.0095881,           0.0076551,            0.013669,            0.003506,            0.079148,           0.0033239,           0.0033239,            0.070085
                   1,            0.027174,            0.010873,             0.11967,            0.005195,             0.81235,           0.0094298,           0.0077419,            0.011295,           0.0032197,            0.078963,           0.0066353,           0.0066353,            0.040063
                   2,            0.024903,            0.010007,             0.11896,           0.0052738,             0.85079,            0.010132,           0.0087111,            0.009877,           0.0028855,            0.078463,           0.0099246,           0.0099246,            0.010019
                   3,             0.02275,           0.0098004,             0.11847,            0.005324,              0.9009,            0.010728,           0.0096129,           0.0081617,           0.0026262,            0.078275,            0.009901,            0.009901,            0.009901
                   4,            0.019664,            0.009169,             0.11816,            0.023201,             0.26995,            0.011808,            0.010412,           0.0087014,           0.0028088,            0.078165,            0.009901,            0.009901,            0.009901
                   5,            0.018159,           0.0086795,             0.11801,              0.0333,             0.34211,            0.013458,            0.012278,            0.007127,           0.0025019,            0.077797,            0.009868,            0.009868,            0.009868
                   6,            0.017707,           0.0085599,             0.11752,            0.027918,             0.43262,              0.0164,            0.014586,           0.0074959,            0.002528,            0.077531,            0.009835,            0.009835,            0.009835
                   7,            0.016949,           0.0082747,             0.11744,            0.014023,             0.60412,            0.020472,             0.01797,           0.0067454,           0.0023704,            0.076658,            0.009802,            0.009802,            0.009802
                   8,            0.016863,           0.0081202,             0.11664,             0.12264,             0.34565,            0.027207,            0.024911,            0.006561,            0.002492,            0.076087,            0.009769,            0.009769,            0.009769
                   9,            0.016331,           0.0080169,             0.11617,            0.031669,             0.61989,            0.029366,            0.025575,           0.0064185,            0.002381,            0.075174,            0.009736,            0.009736,            0.009736
                  10,            0.016309,           0.0080981,             0.11535,            0.022266,             0.69059,            0.038452,            0.034128,           0.0066988,           0.0024225,             0.07412,            0.009703,            0.009703,            0.009703
                  11,            0.016693,           0.0080709,             0.11408,            0.054469,             0.57579,            0.044669,            0.039397,           0.0066238,           0.0023901,            0.071934,             0.00967,             0.00967,             0.00967
                  12,              0.0167,           0.0080329,             0.11206,            0.060084,             0.60447,            0.048902,            0.043585,           0.0064215,           0.0024515,             0.07032,            0.009637,            0.009637,            0.009637
                  13,            0.016854,           0.0080477,             0.11029,            0.062702,             0.69941,            0.057352,            0.051854,           0.0066299,           0.0023423,            0.069074,            0.009604,            0.009604,            0.009604
                  14,             0.01712,           0.0081159,             0.10921,             0.32225,             0.39373,            0.060188,            0.053603,           0.0068149,            0.002386,            0.067977,            0.009571,            0.009571,            0.009571
                  15,             0.01733,           0.0081815,             0.10782,             0.11092,             0.60054,            0.072471,            0.065241,            0.006831,           0.0023512,            0.066245,            0.009538,            0.009538,            0.009538
                  16,              0.0172,           0.0081433,             0.10622,             0.23062,             0.52582,            0.083353,            0.074794,           0.0065193,           0.0022649,             0.06468,            0.009505,            0.009505,            0.009505
                  17,            0.017289,           0.0082305,             0.10499,             0.34855,             0.35797,            0.094311,            0.085075,           0.0065411,           0.0022535,            0.063353,            0.009472,            0.009472,            0.009472
                  18,            0.017403,            0.008161,             0.10398,             0.39688,             0.37685,             0.11417,             0.10431,           0.0065417,           0.0024696,             0.06173,            0.009439,            0.009439,            0.009439
                  19,            0.017536,           0.0082347,             0.10225,             0.32467,             0.44986,             0.12735,             0.11502,           0.0065697,           0.0023571,            0.060483,            0.009406,            0.009406,            0.009406
                  20,            0.017563,           0.0081868,             0.10136,             0.31649,             0.47872,             0.13925,             0.12546,           0.0064741,           0.0023577,            0.059908,            0.009373,            0.009373,            0.009373
                  21,            0.017429,           0.0082257,             0.10039,             0.34809,             0.41854,              0.1594,             0.14512,           0.0064401,             0.00226,            0.058187,             0.00934,             0.00934,             0.00934
                  22,            0.017795,           0.0081733,            0.099165,             0.27514,             0.52467,             0.18224,             0.16593,           0.0067386,           0.0024108,            0.057245,            0.009307,            0.009307,            0.009307
                  23,            0.017438,           0.0082563,            0.098244,             0.28477,             0.47682,             0.19841,             0.18048,           0.0065081,           0.0023355,            0.055976,            0.009274,            0.009274,            0.009274
                  24,            0.017616,           0.0082236,            0.097152,             0.38236,             0.43498,             0.22727,             0.20601,           0.0065606,           0.0023222,            0.054702,            0.009241,            0.009241,            0.009241
                  25,            0.017741,           0.0082346,            0.096227,             0.31738,             0.49402,             0.24847,             0.22475,           0.0067238,           0.0023806,            0.053942,            0.009208,            0.009208,            0.009208
                  26,             0.01808,           0.0081513,            0.095093,             0.35073,              0.4834,             0.28031,             0.25421,           0.0064302,           0.0022713,            0.052164,            0.009175,            0.009175,            0.009175
                  27,            0.017868,           0.0083248,            0.093752,             0.43455,             0.42822,             0.30867,             0.28087,           0.0064467,           0.0022736,            0.050707,            0.009142,            0.009142,            0.009142
                  28,            0.018016,           0.0084067,            0.093418,             0.40331,             0.46368,             0.29595,             0.26973,           0.0064156,             0.00227,             0.05027,            0.009109,            0.009109,            0.009109
                  29,            0.018012,           0.0082728,            0.092029,             0.42252,             0.48639,             0.36024,             0.32971,           0.0064875,           0.0023119,            0.048029,            0.009076,            0.009076,            0.009076
                  30,            0.018548,           0.0082741,            0.091184,             0.38721,             0.53534,             0.37695,             0.34367,           0.0066892,           0.0022913,            0.048175,            0.009043,            0.009043,            0.009043
                  31,            0.018362,           0.0083167,            0.090453,             0.43309,             0.49824,             0.39388,             0.36046,           0.0065877,           0.0023063,             0.04682,             0.00901,             0.00901,             0.00901
                  32,            0.018418,           0.0082173,            0.089189,             0.44385,             0.50647,             0.43252,             0.39477,           0.0064056,           0.0022979,            0.044432,            0.008977,            0.008977,            0.008977
                  33,            0.018398,           0.0082958,            0.088641,             0.38219,             0.58385,             0.44517,             0.40646,           0.0067132,           0.0023215,            0.043978,            0.008944,            0.008944,            0.008944
                  34,            0.018856,           0.0083692,            0.088119,             0.39868,             0.61004,             0.45951,             0.42007,           0.0064254,           0.0022735,            0.043046,            0.008911,            0.008911,            0.008911
                  35,            0.018672,           0.0084289,            0.087194,             0.45109,             0.59288,             0.49348,             0.45146,           0.0065662,           0.0023067,            0.041095,            0.008878,            0.008878,            0.008878
                  36,            0.018719,           0.0083069,            0.085729,             0.41166,             0.63059,             0.50711,             0.46582,           0.0065699,           0.0024172,            0.040131,            0.008845,            0.008845,            0.008845
                  37,            0.018841,           0.0083142,            0.085073,              0.4561,             0.63737,             0.54443,             0.49711,           0.0065414,           0.0023634,            0.039071,            0.008812,            0.008812,            0.008812
                  38,            0.018884,           0.0083277,             0.08375,             0.46956,             0.66836,             0.57482,             0.52746,           0.0062612,           0.0022598,            0.037992,            0.008779,            0.008779,            0.008779
                  39,            0.018846,           0.0084163,            0.083258,             0.49145,               0.638,             0.58116,             0.53434,            0.006447,           0.0023286,            0.037047,            0.008746,            0.008746,            0.008746
                  40,            0.018885,           0.0083373,             0.08248,             0.52506,             0.66339,             0.61492,             0.56516,           0.0064048,           0.0022519,            0.035855,            0.008713,            0.008713,            0.008713
                  41,            0.019143,           0.0083408,            0.081757,             0.53726,             0.65165,             0.61889,             0.56897,           0.0062895,           0.0022237,            0.035074,             0.00868,             0.00868,             0.00868
                  42,            0.018795,           0.0083833,            0.080484,              0.5143,             0.70245,              0.6362,             0.58529,           0.0062866,           0.0023302,             0.03457,            0.008647,            0.008647,            0.008647
                  43,            0.019414,           0.0083511,            0.079821,             0.52394,             0.70965,             0.66215,              0.6088,           0.0061418,           0.0023248,            0.033414,            0.008614,            0.008614,            0.008614
                  44,            0.019476,           0.0084963,            0.078595,              0.5289,             0.72559,             0.67053,             0.61864,            0.006141,            0.002277,             0.03257,            0.008581,            0.008581,            0.008581
