               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037569,            0.016612,             0.11991,            0.046508,             0.62245,           0.0088801,           0.0064889,            0.016731,           0.0050774,            0.078332,           0.0033255,           0.0033255,            0.070071
                   1,            0.028977,            0.013229,             0.11881,            0.075361,             0.45677,           0.0062387,           0.0029642,            0.037695,            0.011092,            0.081168,           0.0066368,           0.0066368,            0.040049
                   2,            0.026792,            0.012772,             0.11846,            0.031929,             0.49808,           0.0094254,           0.0067444,            0.015503,            0.005338,            0.077639,           0.0099262,           0.0099262,            0.010005
                   3,            0.024847,            0.012114,             0.11819,            0.010914,             0.70569,           0.0093185,           0.0068019,            0.014492,             0.00434,            0.077551,            0.009901,            0.009901,            0.009901
                   4,            0.023887,            0.011829,             0.11765,            0.099556,             0.41074,            0.011177,           0.0084344,            0.011441,           0.0045523,             0.07728,            0.009901,            0.009901,            0.009901
                   5,            0.022936,            0.011566,             0.11765,            0.010858,             0.76527,            0.010204,           0.0079292,            0.014116,           0.0045295,            0.078096,            0.009868,            0.009868,            0.009868
                   6,            0.023165,            0.011582,             0.11737,            0.011041,             0.67454,           0.0098809,           0.0078321,             0.01254,           0.0043548,            0.077532,            0.009835,            0.009835,            0.009835
                   7,            0.022463,            0.011444,             0.11727,             0.02794,             0.62678,            0.011527,           0.0089024,             0.01235,           0.0041711,            0.076991,            0.009802,            0.009802,            0.009802
                   8,            0.024171,            0.012486,             0.11724,            0.025022,             0.48908,           0.0059559,           0.0027766,            0.027236,            0.011588,            0.078801,            0.009769,            0.009769,            0.009769
                   9,            0.023221,            0.011947,             0.11737,            0.012277,             0.69143,            0.011474,           0.0084611,             0.01271,           0.0039417,            0.076878,            0.009736,            0.009736,            0.009736
                  10,            0.022414,            0.011552,             0.11724,            0.022266,             0.41568,           0.0097551,           0.0079749,            0.012264,           0.0044649,             0.07755,            0.009703,            0.009703,            0.009703
                  11,            0.022357,            0.011521,             0.11699,             0.10168,              0.3829,            0.010947,           0.0088606,            0.010843,           0.0037708,            0.076869,             0.00967,             0.00967,             0.00967
                  12,            0.021887,            0.011391,             0.11687,            0.023993,             0.33535,           0.0097497,           0.0079428,            0.013296,           0.0046606,             0.07864,            0.009637,            0.009637,            0.009637
                  13,            0.021934,            0.011532,             0.11687,            0.048327,             0.42686,             0.01032,           0.0079717,            0.012828,           0.0048505,            0.076755,            0.009604,            0.009604,            0.009604
                  14,            0.023928,            0.012823,             0.11724,           0.0069472,              0.6623,            0.012015,            0.010026,            0.009847,           0.0033284,            0.076541,            0.009571,            0.009571,            0.009571
                  15,            0.022401,            0.011774,             0.11684,            0.032348,             0.70578,            0.011667,           0.0093208,            0.010081,           0.0034643,            0.076724,            0.009538,            0.009538,            0.009538
                  16,            0.021942,            0.011584,             0.11698,            0.089125,             0.46804,            0.012392,             0.01021,            0.010176,           0.0036782,            0.076552,            0.009505,            0.009505,            0.009505
                  17,            0.022083,            0.011567,             0.11687,            0.038518,             0.55975,            0.013124,            0.010911,           0.0090902,           0.0030944,             0.07609,            0.009472,            0.009472,            0.009472
                  18,            0.022125,            0.011558,             0.11697,              0.0342,             0.50585,            0.013274,            0.011304,           0.0092901,           0.0031584,            0.076738,            0.009439,            0.009439,            0.009439
                  19,            0.021938,            0.011612,             0.11672,             0.07644,               0.539,            0.013105,            0.011037,           0.0091351,           0.0032265,              0.0766,            0.009406,            0.009406,            0.009406
                  20,            0.021817,            0.011513,             0.11669,            0.053687,             0.52949,            0.013022,            0.010234,            0.010444,           0.0032414,            0.076491,            0.009373,            0.009373,            0.009373
                  21,            0.022021,            0.011652,             0.11679,            0.033586,             0.49175,            0.013264,             0.01126,           0.0092764,            0.003298,            0.076046,             0.00934,             0.00934,             0.00934
                  22,            0.021443,            0.011459,             0.11667,            0.058544,             0.54856,            0.013636,            0.011368,           0.0088303,            0.003219,            0.075953,            0.009307,            0.009307,            0.009307
                  23,            0.021432,            0.011557,             0.11676,            0.035203,             0.54099,            0.013983,             0.01166,           0.0090742,           0.0031082,            0.076127,            0.009274,            0.009274,            0.009274
                  24,            0.022078,            0.011621,             0.11647,            0.040424,             0.49416,            0.013726,            0.011697,           0.0089401,           0.0031372,            0.075777,            0.009241,            0.009241,            0.009241
                  25,            0.021411,            0.011407,             0.11638,            0.033894,             0.56338,            0.014638,            0.012217,           0.0084141,            0.003085,            0.075629,            0.009208,            0.009208,            0.009208
                  26,            0.021548,            0.011465,             0.11631,            0.039184,             0.53827,            0.014649,            0.012253,           0.0087854,           0.0029587,            0.075768,            0.009175,            0.009175,            0.009175
                  27,            0.021264,            0.011461,             0.11663,            0.054069,             0.57379,            0.014388,            0.011875,           0.0085891,           0.0030239,            0.075717,            0.009142,            0.009142,            0.009142
                  28,             0.02167,            0.011499,             0.11607,            0.039495,              0.5443,            0.014858,             0.01258,           0.0085816,           0.0030201,            0.075731,            0.009109,            0.009109,            0.009109
                  29,            0.021199,            0.011384,             0.11648,            0.024234,             0.60556,            0.014786,            0.012278,           0.0087396,           0.0030112,            0.075598,            0.009076,            0.009076,            0.009076
                  30,            0.023932,            0.013042,              0.1169,            0.064073,             0.45837,            0.012069,           0.0098102,           0.0098533,           0.0034556,            0.076582,            0.009043,            0.009043,            0.009043
                  31,            0.021873,            0.011721,             0.11666,            0.079677,             0.50477,            0.013145,            0.011054,           0.0087132,           0.0029893,            0.075805,             0.00901,             0.00901,             0.00901
                  32,            0.021385,            0.011397,             0.11639,            0.039162,             0.56809,            0.014894,            0.012668,           0.0084443,           0.0028901,            0.075551,            0.008977,            0.008977,            0.008977
                  33,            0.021657,            0.011833,             0.11646,            0.044155,             0.48641,             0.01283,            0.010395,           0.0092488,           0.0033831,              0.0763,            0.008944,            0.008944,            0.008944
                  34,             0.02168,            0.011812,             0.11648,            0.038961,             0.58543,            0.014768,            0.012477,           0.0083885,           0.0028614,             0.07567,            0.008911,            0.008911,            0.008911
                  35,            0.020877,             0.01117,             0.11631,            0.049028,             0.60336,            0.015081,            0.012886,           0.0082248,            0.002796,            0.075275,            0.008878,            0.008878,            0.008878
                  36,            0.020723,            0.011237,              0.1163,            0.019029,             0.63763,            0.015618,             0.01335,           0.0080898,           0.0027396,            0.075106,            0.008845,            0.008845,            0.008845
                  37,            0.020834,            0.011248,             0.11609,             0.02419,             0.64058,            0.015843,             0.01362,           0.0075937,           0.0027098,            0.075051,            0.008812,            0.008812,            0.008812
                  38,            0.020661,            0.011233,             0.11624,            0.019033,             0.64683,            0.015744,              0.0134,           0.0077412,           0.0027679,            0.074893,            0.008779,            0.008779,            0.008779
                  39,            0.020547,            0.011234,             0.11601,            0.019917,             0.63853,            0.016537,            0.014042,           0.0078942,           0.0027127,             0.07476,            0.008746,            0.008746,            0.008746
                  40,            0.020658,            0.011154,             0.11579,            0.019569,             0.66847,            0.017442,            0.015089,           0.0076491,            0.002687,            0.074576,            0.008713,            0.008713,            0.008713
                  41,            0.020567,            0.011219,             0.11584,            0.030753,             0.67033,            0.017515,             0.01497,           0.0076719,           0.0027216,            0.074776,             0.00868,             0.00868,             0.00868
                  42,            0.020734,            0.011194,             0.11563,            0.030506,             0.68528,            0.017666,            0.015154,           0.0075929,           0.0027157,            0.074413,            0.008647,            0.008647,            0.008647
                  43,            0.020836,            0.011199,             0.11541,            0.035615,               0.729,            0.019085,            0.016393,           0.0075642,           0.0027533,            0.073832,            0.008614,            0.008614,            0.008614
                  44,            0.020312,            0.011058,             0.11493,            0.031385,             0.78345,            0.020495,            0.017779,           0.0076935,            0.002724,            0.072929,            0.008581,            0.008581,            0.008581
                  45,            0.020682,            0.011164,             0.11449,            0.073132,             0.67606,             0.02199,             0.01908,           0.0077109,           0.0027484,             0.07223,            0.008548,            0.008548,            0.008548
                  46,            0.020544,            0.011249,             0.11401,             0.05413,             0.70094,            0.023977,            0.020697,           0.0075897,           0.0027159,            0.071487,            0.008515,            0.008515,            0.008515
                  47,            0.020462,            0.011108,             0.11358,             0.10015,             0.60183,            0.025337,            0.021798,           0.0076346,           0.0027084,            0.070968,            0.008482,            0.008482,            0.008482
                  48,            0.020379,            0.011144,             0.11302,             0.09484,             0.63799,            0.026063,            0.022365,           0.0075712,            0.002695,            0.070528,            0.008449,            0.008449,            0.008449
                  49,            0.020725,            0.011229,             0.11282,            0.065427,             0.67002,            0.027874,            0.023665,           0.0077433,           0.0027216,             0.07004,            0.008416,            0.008416,            0.008416
                  50,            0.020632,            0.011158,             0.11243,             0.13165,             0.56499,            0.028777,            0.024382,           0.0076956,           0.0027074,            0.069709,            0.008383,            0.008383,            0.008383
                  51,            0.020523,            0.011083,             0.11186,             0.12337,             0.58501,            0.030393,            0.025695,           0.0076217,           0.0026706,            0.069302,             0.00835,             0.00835,             0.00835
                  52,            0.020565,            0.011177,             0.11198,              0.1798,             0.50336,             0.03145,            0.026843,           0.0075249,           0.0026631,            0.069283,            0.008317,            0.008317,            0.008317
                  53,            0.020401,            0.011187,             0.11142,             0.15434,             0.52503,              0.0319,            0.027126,           0.0076412,           0.0026699,            0.069102,            0.008284,            0.008284,            0.008284
