               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017761,           0.0081995,            0.095596,             0.40267,             0.40963,               0.255,             0.23246,           0.0064604,           0.0022988,             0.05123,            0.008845,            0.008845,            0.008845
                  37,            0.017983,           0.0081751,            0.094512,             0.35919,              0.4582,             0.26713,             0.24243,           0.0062993,           0.0024515,            0.050598,            0.008812,            0.008812,            0.008812
                  38,            0.018312,           0.0082134,            0.093538,             0.32863,             0.50418,             0.27815,             0.25221,           0.0063562,           0.0024246,            0.049739,            0.008779,            0.008779,            0.008779
                  39,            0.018132,           0.0081352,             0.09294,             0.33135,             0.52266,             0.29352,             0.26662,           0.0065333,           0.0024116,            0.048413,            0.008746,            0.008746,            0.008746
                  40,            0.018162,           0.0081959,            0.092504,             0.36109,             0.50946,             0.31179,             0.28517,            0.006483,           0.0022999,            0.048146,            0.008713,            0.008713,            0.008713
                  41,            0.018249,           0.0081815,            0.092132,             0.33624,             0.55431,             0.33239,              0.3012,           0.0063063,           0.0023843,            0.046566,             0.00868,             0.00868,             0.00868
                  42,            0.018373,           0.0082363,            0.091102,             0.32734,             0.57542,             0.34873,             0.31765,           0.0063627,           0.0023891,            0.046044,            0.008647,            0.008647,            0.008647
                  43,            0.018167,           0.0082426,            0.089739,             0.35708,             0.53643,             0.37029,             0.33775,           0.0063764,           0.0023924,            0.045139,            0.008614,            0.008614,            0.008614
                  44,            0.018318,             0.00827,            0.088792,              0.3527,              0.5875,             0.37688,             0.34301,           0.0062683,           0.0023583,            0.044665,            0.008581,            0.008581,            0.008581
                  45,            0.018624,           0.0083362,            0.088881,             0.39313,             0.53617,             0.39539,             0.36114,            0.006263,           0.0023064,            0.044135,            0.008548,            0.008548,            0.008548
                  46,             0.01881,           0.0083332,             0.08804,             0.39006,              0.5672,             0.40839,              0.3716,           0.0063932,           0.0023399,            0.042935,            0.008515,            0.008515,            0.008515
                  47,            0.018996,           0.0082877,            0.087357,             0.39371,              0.5605,             0.42663,             0.38905,            0.006598,           0.0023447,            0.042369,            0.008482,            0.008482,            0.008482
                  48,             0.01879,           0.0082693,            0.086538,             0.37803,             0.59205,             0.45166,             0.41349,           0.0065143,            0.002366,            0.041329,            0.008449,            0.008449,            0.008449
                  49,            0.018386,            0.008315,            0.085898,             0.39876,             0.60189,             0.47097,             0.43054,           0.0061992,           0.0022762,            0.040019,            0.008416,            0.008416,            0.008416
                  50,            0.018714,           0.0082847,            0.084705,             0.38048,             0.64577,             0.48307,             0.44228,           0.0062975,           0.0023697,            0.039494,            0.008383,            0.008383,            0.008383
                  51,            0.018705,           0.0082929,            0.084588,             0.43738,             0.61157,             0.50667,             0.46259,           0.0064348,           0.0023032,            0.038949,             0.00835,             0.00835,             0.00835
                  52,            0.018914,           0.0083066,            0.083846,             0.50035,             0.57555,             0.51817,             0.47461,           0.0064523,           0.0023401,            0.038092,            0.008317,            0.008317,            0.008317
                  53,            0.019083,           0.0082917,            0.082944,             0.46117,             0.61454,             0.53052,             0.48607,            0.006344,           0.0023168,            0.037428,            0.008284,            0.008284,            0.008284
                  54,            0.018895,           0.0084073,            0.082413,             0.48205,             0.61463,             0.54823,             0.50401,           0.0064493,           0.0023279,            0.036498,            0.008251,            0.008251,            0.008251
                  55,            0.019123,           0.0083523,            0.082307,             0.46701,             0.64299,             0.56733,              0.5215,            0.006376,           0.0023157,            0.035779,            0.008218,            0.008218,            0.008218
                  56,            0.018997,           0.0083253,            0.080953,             0.47728,             0.66018,             0.57945,             0.52937,           0.0063498,           0.0023792,              0.0348,            0.008185,            0.008185,            0.008185
                  57,            0.019242,           0.0083796,            0.080889,             0.47054,             0.67878,             0.59277,             0.54291,           0.0062869,           0.0023503,            0.034359,            0.008152,            0.008152,            0.008152
                  58,            0.019028,           0.0083312,            0.079708,             0.53289,             0.63083,             0.59554,             0.54454,           0.0064213,           0.0023356,            0.033815,            0.008119,            0.008119,            0.008119
                  59,            0.019241,           0.0083714,            0.078848,             0.50862,             0.66594,             0.61206,             0.56007,           0.0061417,            0.002363,            0.032777,            0.008086,            0.008086,            0.008086
                  60,            0.019133,           0.0083498,            0.078365,             0.57343,              0.6123,              0.6298,             0.57975,           0.0060679,           0.0023651,            0.032461,            0.008053,            0.008053,            0.008053
                  61,            0.019411,           0.0083178,            0.077995,             0.50129,             0.69691,             0.64452,             0.59189,           0.0061249,           0.0023208,            0.031742,             0.00802,             0.00802,             0.00802
                  62,            0.019278,           0.0082944,            0.077089,             0.54358,             0.68043,             0.65198,             0.60054,           0.0062699,           0.0023563,            0.031519,            0.007987,            0.007987,            0.007987
                  63,            0.019488,           0.0083718,            0.077308,             0.50647,             0.72551,             0.65921,             0.60525,           0.0062527,           0.0022987,            0.030629,            0.007954,            0.007954,            0.007954
                  64,            0.019091,           0.0084016,            0.076042,             0.55298,             0.69369,             0.67073,             0.61692,           0.0060316,           0.0023307,            0.030247,            0.007921,            0.007921,            0.007921
                  65,            0.019083,           0.0084975,            0.076198,             0.53327,             0.72719,             0.68042,             0.62575,           0.0062551,           0.0022945,            0.029633,            0.007888,            0.007888,            0.007888
                  66,            0.019451,           0.0083358,            0.076039,             0.56652,             0.70716,             0.67906,             0.62365,           0.0062439,           0.0023139,             0.02937,            0.007855,            0.007855,            0.007855
                  67,            0.019353,           0.0083767,            0.074907,             0.57952,             0.71749,              0.6933,             0.63744,           0.0062501,           0.0023346,            0.028325,            0.007822,            0.007822,            0.007822
                  68,             0.01971,           0.0082869,            0.074212,             0.58347,             0.72123,             0.70599,             0.65066,            0.006186,           0.0022993,            0.028166,            0.007789,            0.007789,            0.007789
                  69,            0.019656,           0.0083573,            0.074026,             0.57787,             0.75334,             0.71916,             0.66346,            0.006184,           0.0022835,            0.028024,            0.007756,            0.007756,            0.007756
                  70,            0.019211,           0.0082629,            0.073306,             0.60226,             0.74649,             0.72761,             0.66985,           0.0061386,           0.0022765,             0.02754,            0.007723,            0.007723,            0.007723
                  71,            0.019343,           0.0083669,            0.072561,             0.59721,             0.76517,             0.73418,             0.67675,            0.006213,           0.0022855,            0.026744,             0.00769,             0.00769,             0.00769
                  72,            0.019228,           0.0083674,            0.073062,               0.627,             0.74447,             0.74131,             0.68381,           0.0061557,           0.0022643,            0.026229,            0.007657,            0.007657,            0.007657
                  73,             0.01941,           0.0083972,            0.071424,             0.67446,             0.71693,             0.74955,             0.69294,           0.0060999,           0.0022867,            0.025855,            0.007624,            0.007624,            0.007624
                  74,            0.019609,           0.0083847,            0.071314,             0.65384,             0.73746,             0.75068,              0.6929,           0.0060773,           0.0023345,            0.025579,            0.007591,            0.007591,            0.007591
                  75,            0.019574,           0.0083276,            0.071214,             0.67081,             0.74636,             0.75807,             0.69922,           0.0061081,           0.0023313,            0.024949,            0.007558,            0.007558,            0.007558
                  76,            0.019298,           0.0083082,            0.070634,             0.66326,              0.7607,             0.76728,             0.70913,           0.0059864,           0.0022886,            0.024372,            0.007525,            0.007525,            0.007525
                  77,            0.020077,           0.0083557,            0.069825,             0.68476,             0.76437,              0.7757,             0.71708,           0.0060939,           0.0022949,            0.023949,            0.007492,            0.007492,            0.007492
                  78,            0.019817,           0.0082856,            0.069574,             0.69141,             0.76672,             0.78832,             0.72836,           0.0060416,           0.0022758,            0.023717,            0.007459,            0.007459,            0.007459
                  79,            0.019841,           0.0083932,            0.069445,             0.67262,             0.78522,             0.79178,             0.73245,           0.0059477,           0.0022911,            0.023162,            0.007426,            0.007426,            0.007426
                  80,            0.019872,            0.008332,            0.068826,             0.67919,             0.79294,             0.79683,             0.73577,           0.0060013,           0.0022988,             0.02284,            0.007393,            0.007393,            0.007393
                  81,            0.019697,           0.0083422,            0.068456,             0.69309,             0.78844,             0.80356,             0.74308,           0.0060286,           0.0023046,            0.022641,             0.00736,             0.00736,             0.00736
                  82,            0.019656,           0.0083315,            0.068109,             0.71554,             0.77824,             0.80787,             0.74718,           0.0059959,           0.0023115,            0.022463,            0.007327,            0.007327,            0.007327
                  83,            0.019925,            0.008393,            0.067505,             0.73116,             0.76978,             0.81207,             0.75187,            0.006057,           0.0023025,             0.02245,            0.007294,            0.007294,            0.007294
                  84,            0.019822,           0.0083214,              0.0666,             0.72009,             0.79714,             0.81819,             0.75715,           0.0060563,           0.0022665,            0.021929,            0.007261,            0.007261,            0.007261
                  85,             0.01971,            0.008267,            0.065957,             0.74196,             0.78493,             0.82306,             0.76193,           0.0060413,           0.0022756,            0.021615,            0.007228,            0.007228,            0.007228
                  86,            0.019949,           0.0083392,            0.066964,             0.71131,             0.81668,             0.82833,             0.76706,           0.0059779,           0.0022577,            0.021368,            0.007195,            0.007195,            0.007195
                  87,            0.019509,           0.0082726,            0.065295,             0.70645,             0.83044,             0.83208,             0.77063,           0.0059905,           0.0022573,            0.021083,            0.007162,            0.007162,            0.007162
                  88,            0.019803,           0.0083285,            0.067062,             0.74574,             0.79553,              0.8358,             0.77342,           0.0059792,           0.0022721,            0.020657,            0.007129,            0.007129,            0.007129
                  89,            0.020035,           0.0082921,            0.065282,             0.72237,             0.81809,             0.84071,             0.77757,            0.005993,           0.0022936,            0.020321,            0.007096,            0.007096,            0.007096
                  90,            0.019791,           0.0083527,            0.065386,             0.73492,             0.81699,             0.84341,             0.78017,           0.0059953,           0.0022811,            0.019993,            0.007063,            0.007063,            0.007063
                  91,            0.019807,           0.0082988,            0.064646,             0.70867,              0.8398,             0.84554,             0.78258,           0.0060029,           0.0022706,            0.019604,             0.00703,             0.00703,             0.00703
                  92,            0.019181,           0.0083739,            0.064768,             0.72056,             0.82799,             0.84642,             0.78304,           0.0059844,           0.0022569,            0.019248,            0.006997,            0.006997,            0.006997
                  93,            0.019782,           0.0083164,            0.064749,             0.71288,             0.84424,             0.85007,             0.78647,           0.0059826,           0.0022599,            0.018948,            0.006964,            0.006964,            0.006964
                  94,            0.019788,           0.0082405,            0.063898,             0.73327,              0.8376,             0.85421,              0.7904,           0.0059874,           0.0022638,            0.018721,            0.006931,            0.006931,            0.006931
                  95,            0.019967,           0.0082864,            0.062754,             0.76667,             0.81729,             0.85804,             0.79451,           0.0059273,           0.0022742,            0.018389,            0.006898,            0.006898,            0.006898
                  96,            0.019833,            0.008398,            0.063976,             0.74002,             0.84222,             0.86123,             0.79784,           0.0058893,           0.0022711,            0.018166,            0.006865,            0.006865,            0.006865
                  97,            0.019696,           0.0083967,            0.061865,             0.73265,             0.85276,             0.86498,             0.80147,           0.0059143,           0.0022696,            0.017947,            0.006832,            0.006832,            0.006832
                  98,            0.019701,           0.0083304,            0.062828,             0.75089,             0.84099,             0.86798,             0.80497,           0.0059284,           0.0022688,            0.017668,            0.006799,            0.006799,            0.006799
                  99,            0.019638,           0.0083226,            0.061767,             0.75717,             0.83947,             0.87046,             0.80722,           0.0059166,           0.0022656,            0.017468,            0.006766,            0.006766,            0.006766
                 100,            0.019658,           0.0082892,            0.061741,             0.75161,             0.85524,             0.87179,             0.80772,           0.0058684,           0.0022706,            0.017339,            0.006733,            0.006733,            0.006733
                 101,            0.019581,           0.0082338,            0.061193,             0.75399,             0.85461,             0.87351,             0.80948,           0.0058503,           0.0022674,            0.017244,              0.0067,              0.0067,              0.0067
                 102,            0.019373,           0.0082783,            0.059878,             0.75978,             0.85335,              0.8764,             0.81203,           0.0058312,           0.0022637,            0.017149,            0.006667,            0.006667,            0.006667
                 103,             0.01975,           0.0083555,            0.059357,             0.76441,             0.85357,              0.8785,             0.81457,           0.0058301,           0.0022557,            0.016938,            0.006634,            0.006634,            0.006634
