               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04409,            0.024825,             0.12192,           0.0047756,             0.99575,            0.010747,           0.0090782,           0.0094061,           0.0036142,            0.076973,           0.0033251,           0.0033251,            0.070074
                   1,            0.028336,            0.018661,             0.11947,           0.0048697,             0.99864,            0.012253,             0.01075,           0.0079001,           0.0032174,            0.076588,           0.0066365,           0.0066365,            0.040052
                   2,            0.026166,            0.017349,             0.11884,           0.0050073,             0.99915,            0.010854,           0.0093605,           0.0094146,           0.0029813,            0.076304,           0.0099258,           0.0099258,            0.010008
                   3,            0.023413,            0.016589,             0.11841,           0.0050029,             0.99851,            0.011272,            0.009976,           0.0073622,           0.0028284,            0.076222,            0.009901,            0.009901,            0.009901
                   4,            0.021387,            0.015724,             0.11804,            0.005004,             0.99915,            0.012971,            0.011409,           0.0071428,           0.0029235,            0.075862,            0.009901,            0.009901,            0.009901
                   5,            0.020103,            0.015325,             0.11776,           0.0050239,             0.99787,            0.013079,            0.011969,           0.0065853,           0.0026976,             0.07583,            0.009868,            0.009868,            0.009868
                   6,            0.019216,            0.014767,             0.11757,           0.0050813,             0.99915,            0.015837,            0.014309,           0.0061289,           0.0024385,            0.075679,            0.009835,            0.009835,            0.009835
                   7,            0.018849,            0.014486,             0.11743,           0.0050795,             0.99915,             0.01635,            0.014548,            0.006459,           0.0023646,            0.075496,            0.009802,            0.009802,            0.009802
                   8,            0.018835,            0.014297,             0.11726,           0.0050754,             0.99915,            0.016805,            0.015205,           0.0060021,           0.0024363,            0.075469,            0.009769,            0.009769,            0.009769
                   9,            0.018378,            0.014176,               0.117,           0.0050628,             0.99915,            0.018632,            0.016162,           0.0061015,           0.0024158,            0.075216,            0.009736,            0.009736,            0.009736
                  10,            0.018071,            0.014021,             0.11672,           0.0050653,             0.99915,            0.018955,            0.016843,           0.0060168,           0.0024008,            0.074655,            0.009703,            0.009703,            0.009703
                  11,            0.018035,            0.013891,             0.11617,           0.0050297,             0.99915,            0.021112,            0.018745,           0.0057137,           0.0024677,            0.074379,             0.00967,             0.00967,             0.00967
                  12,            0.017717,            0.013864,             0.11524,            0.005081,             0.99915,            0.029416,            0.026255,           0.0062309,           0.0023965,            0.073066,            0.009637,            0.009637,            0.009637
                  13,            0.017984,            0.014004,             0.11432,           0.0050553,             0.99915,            0.036912,            0.032739,           0.0057275,           0.0025709,            0.071716,            0.009604,            0.009604,            0.009604
                  14,            0.018242,            0.013951,             0.11308,             0.87358,            0.055964,            0.041691,            0.037217,           0.0059432,           0.0024684,            0.070259,            0.009571,            0.009571,            0.009571
                  15,            0.018255,            0.013892,             0.11206,             0.65808,             0.20674,            0.055521,            0.049164,           0.0062508,           0.0025225,            0.068877,            0.009538,            0.009538,            0.009538
                  16,            0.018331,            0.013973,             0.11083,              0.8035,             0.10445,            0.054403,            0.048849,            0.005729,           0.0023881,            0.067571,            0.009505,            0.009505,            0.009505
                  17,            0.018678,            0.014022,             0.10992,             0.88495,            0.062522,            0.064101,            0.058146,           0.0057349,           0.0023517,            0.066738,            0.009472,            0.009472,            0.009472
                  18,             0.01844,            0.013941,             0.10899,             0.79926,            0.066886,            0.075657,            0.068808,           0.0057096,            0.002323,            0.065632,            0.009439,            0.009439,            0.009439
                  19,            0.018687,            0.014111,              0.1079,             0.61713,             0.15007,            0.083966,            0.076543,           0.0058485,           0.0023188,            0.064201,            0.009406,            0.009406,            0.009406
                  20,            0.018854,            0.013925,             0.10729,             0.74808,             0.10273,            0.099096,            0.089991,           0.0059173,           0.0023875,            0.062851,            0.009373,            0.009373,            0.009373
                  21,            0.018608,            0.013897,             0.10628,             0.66931,             0.13586,             0.10326,            0.094719,           0.0057571,           0.0023055,            0.061916,             0.00934,             0.00934,             0.00934
                  22,            0.018686,            0.013925,             0.10544,             0.63118,             0.16923,             0.10748,            0.097974,           0.0058196,           0.0024011,            0.060841,            0.009307,            0.009307,            0.009307
                  23,            0.018623,            0.013887,             0.10468,             0.59278,             0.19124,             0.11936,             0.10848,           0.0055908,           0.0022934,            0.060004,            0.009274,            0.009274,            0.009274
                  24,            0.018541,            0.013957,             0.10403,              0.5677,             0.22914,              0.1449,             0.13163,           0.0057605,           0.0023799,            0.057806,            0.009241,            0.009241,            0.009241
                  25,            0.018704,            0.014015,             0.10296,             0.55748,             0.24065,             0.14748,             0.13524,           0.0054972,           0.0023229,            0.057415,            0.009208,            0.009208,            0.009208
                  26,            0.018718,            0.013882,             0.10253,             0.51992,             0.27058,             0.15512,             0.14218,            0.005846,           0.0022984,            0.056528,            0.009175,            0.009175,            0.009175
                  27,            0.018685,            0.013919,             0.10175,             0.47681,              0.2855,             0.17473,             0.15955,           0.0055377,           0.0023089,             0.05577,            0.009142,            0.009142,            0.009142
